respondent_id,knowledge_level_of_international_food,interested_in_international_foods,algeria,argentina,australia,belgium,bosnia_and_herzegovina,brazil,cameroon,chile,colombia,costa_rica,croatia,ecuador,england,france,germany,ghana,greece,honduras,iran,italy,ivory_coast,japan,mexico,the_netherlands,nigeria,portugal,russia,south_korea,spain,switzerland,united_states,uruguay,china,india,thailand,turkey,cuba,ethiopia,vietnam,ireland,gender,age,household_income,education,census_region_location
3308895255.0,Intermediate,Some,,3.0,5.0,4.0,,3.0,,4.0,,4.0,,,4.0,3.0,5.0,,,,,5.0,3.0,1.0,5.0,,,1.0,3.0,,,,5.0,2.0,4.0,5.0,4.0,,,3.0,,4.0,Male,18-29,"$100,000 - $149,999",Less than high school degree,West South Central
3308891308.0,Novice,Some,,,3.0,3.0,,3.0,,,,,,,4.0,4.0,4.0,,4.0,,,5.0,,3.0,5.0,,,,,,3.0,,4.0,,2.0,2.0,4.0,,,,,4.0,Male,18-29,"$100,000 - $149,999",Some college or Associate degree,West South Central
3308891135.0,Intermediate,A lot,3.0,4.0,,3.0,,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0,,3.0,4.0,2.0,,3.0,2.0,4.0,4.0,2.0,3.0,,3.0,5.0,5.0,,4.0,5.0,4.0,3.0,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3308879091.0,Novice,Not much���,,3.0,,3.0,,,3.0,3.0,2.0,4.0,,,3.0,3.0,3.0,,4.0,,3.0,3.0,,3.0,4.0,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,,4.0,3.0,2.0,3.0,4.0,,4.0,3.0,Male,45-60,"$0 - $24,999",Less than high school degree,New England
3308871671.0,Novice,Not much���,,,,,,,,,,,,,2.0,3.0,3.0,,,,,4.0,,2.0,4.0,,,,,,3.0,,3.0,,3.0,3.0,3.0,,3.0,,3.0,,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
3308871406.0,Advanced,A lot,,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,,5.0,,4.0,5.0,,5.0,5.0,4.0,,4.0,5.0,4.0,5.0,,2.0,3.0,3.0,5.0,5.0,5.0,5.0,,,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3308866182.0,Novice,Some,,3.0,,,,,,,,,,,,,,,,,,3.0,,3.0,3.0,,,,,,3.0,,4.0,,3.0,2.0,,,,,3.0,,Male,45-60,,High school degree,West South Central
3308857114.0,Advanced,A lot,,5.0,4.0,3.0,,4.0,,4.0,4.0,4.0,,3.0,3.0,5.0,5.0,,4.0,3.0,,5.0,,4.0,4.0,4.0,,4.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,,3.0,4.0,Male,45-60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308856510.0,Novice,Not much���,,,,,,,,,4.0,,,,3.0,,4.0,,4.0,,,4.0,,3.0,4.0,,,,,,,,4.0,,3.0,4.0,3.0,,4.0,,4.0,4.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308846915.0,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308845993.0,Advanced,A lot,,,,,,3.0,,,,,,,2.0,5.0,2.0,,4.0,,,5.0,,5.0,4.0,,,,2.0,3.0,3.0,,5.0,,4.0,4.0,4.0,,3.0,3.0,3.0,3.0,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain
3308837085.0,Novice,Some,,,,,,,,,,,,,2.0,4.0,,,,,,3.0,,3.0,3.0,,,,,2.0,3.0,,4.0,,3.0,2.0,3.0,2.0,,,3.0,3.0,Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308834022.0,Intermediate,A lot,3.0,3.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,,5.0,4.0,4.0,,,1.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,,3.0,,,Male,18-29,"$25,000 - $49,999",High school degree,Middle Atlantic
3308832927.0,Intermediate,Some,,,,5.0,,3.0,,,,,,,2.0,5.0,2.0,,2.0,,,5.0,,4.0,3.0,,,3.0,,3.0,5.0,2.0,3.0,,4.0,1.0,4.0,,,,3.0,2.0,Female,30-44,,Bachelor degree,Middle Atlantic
3308823251.0,Intermediate,Some,,,,,,3.0,,,,,,,3.0,4.0,3.0,,4.0,,,4.0,,4.0,4.0,,,,2.0,3.0,3.0,3.0,3.0,,3.0,4.0,4.0,,4.0,4.0,4.0,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,Pacific
3308819174.0,Intermediate,Some,,,,,,,,,,,,,,,,,,,3.0,4.0,,4.0,5.0,,,2.0,,,,,3.0,,,3.0,5.0,,,,3.0,,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific
3308816847.0,Novice,Not at all���,,,,,,,,,,,,,3.0,4.0,4.0,,3.0,,,4.0,,,4.0,,,,,,,,4.0,,4.0,,,,,,,3.0,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Pacific
3308816305.0,Novice,Not much���,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308815266.0,Novice,Not much���,,,,,,,,,,,,,3.0,,3.0,,3.0,,,5.0,,,3.0,,,,,,,,4.0,,,,,,,,,,Male,> 60,"$0 - $24,999",Some college or Associate degree,Middle Atlantic
3308813105.0,Novice,Some,,,,,,,,,,,,,3.0,2.0,4.0,,2.0,,,,,3.0,,,,,4.0,4.0,,,3.0,,3.0,,,,,,,,Male,45-60,,Some college or Associate degree,Mountain
3308809158.0,Intermediate,A lot,4.0,3.0,3.0,,,3.0,,,1.0,4.0,3.0,,4.0,3.0,4.0,,4.0,4.0,,4.0,,5.0,5.0,,,,5.0,,4.0,3.0,4.0,,5.0,4.0,4.0,4.0,,,,,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central
3308805258.0,Novice,Some,,,,,,,,,,,,,3.0,,4.0,,4.0,,,5.0,,3.0,5.0,,,,2.0,2.0,2.0,,4.0,,4.0,4.0,5.0,,,,1.0,2.0,Male,18-29,"$0 - $24,999",Some college or Associate degree,Mountain
3308804182.0,Intermediate,Not much���,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308800049.0,Novice,Some,,,,,,,,,,,,,3.0,3.0,5.0,,3.0,,,2.0,,,4.0,,,,,,,,4.0,,,1.0,,,,,,,Male,30-44,"$25,000 - $49,999",Some college or Associate degree,East South Central
3308799446.0,Novice,Not at all���,,,1.0,,,,,,,,,,,4.0,5.0,,,1.0,,5.0,,4.0,4.0,,,,1.0,,4.0,,3.0,,4.0,3.0,5.0,,,,5.0,4.0,Male,18-29,"$150,000+",Some college or Associate degree,West North Central
3308793678.0,Intermediate,Some,,3.0,,,,3.0,,3.0,,,,,3.0,3.0,4.0,,2.0,,,5.0,,4.0,5.0,,1.0,,1.0,,3.0,3.0,5.0,1.0,5.0,2.0,1.0,,,,1.0,3.0,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central
3308792170.0,Intermediate,Not much���,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308784370.0,Intermediate,A lot,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,,4.0,,3.0,3.0,,2.0,4.0,4.0,,,3.0,3.0,3.0,3.0,3.0,,2.0,4.0,5.0,,4.0,4.0,3.0,3.0,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain
3308779771.0,Intermediate,Some,,,4.0,4.0,,,,,,,,,4.0,4.0,4.0,,5.0,,,5.0,,4.0,2.0,3.0,,4.0,2.0,,4.0,4.0,4.0,,3.0,4.0,3.0,,,,3.0,4.0,Male,> 60,"$50,000 - $99,999",Graduate degree,New England
3308777531.0,Intermediate,Some,,,,,,,,,,3.0,,,2.0,3.0,2.0,3.0,2.0,,,4.0,,3.0,4.0,,,,,,4.0,,4.0,,2.0,2.0,5.0,,3.0,,3.0,4.0,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3308765568.0,Intermediate,Some,,3.0,,,,4.0,,4.0,4.0,4.0,,3.0,3.0,3.0,5.0,,3.0,4.0,,5.0,3.0,5.0,5.0,4.0,,3.0,,4.0,5.0,4.0,4.0,,5.0,4.0,4.0,3.0,4.0,,3.0,4.0,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West South Central
3308761752.0,Intermediate,Not much���,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,2.0,3.0,,,,,
3308760375.0,Advanced,A lot,,,,,,,,4.0,4.0,,,,3.0,5.0,4.0,,3.0,,,5.0,,,4.0,,,,,,3.0,,5.0,,,,,,4.0,,4.0,,Male,> 60,"$150,000+",Some college or Associate degree,New England
3308756665.0,Novice,Not much���,,,,,,,,,,,,,3.0,3.0,3.0,,4.0,,,4.0,,4.0,3.0,,,,,,,,3.0,,3.0,2.0,5.0,,,,4.0,3.0,Male,18-29,"$25,000 - $49,999",Some college or Associate degree,East North Central
3308755584.0,Novice,Some,,,3.0,,,,,,,,,,,,,,3.0,,,3.0,,3.0,3.0,,,,,,,,5.0,,,2.0,,,,,,,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
3308755566.0,Intermediate,Some,,,,,,3.0,,,,,,,3.0,3.0,4.0,,3.0,,,3.0,,4.0,4.0,,,,,3.0,,,4.0,,4.0,3.0,3.0,,4.0,,,3.0,Male,45-60,"$25,000 - $49,999",Bachelor degree,East North Central
3308750909.0,Intermediate,Not much���,,,3.0,,,,,,,,,,3.0,4.0,5.0,,,,,4.0,,,2.0,,,,,1.0,,,5.0,,4.0,2.0,,,,,,3.0,Female,45-60,"$0 - $24,999",Bachelor degree,East North Central
3308750030.0,Intermediate,Not much���,,4.0,4.0,5.0,,4.0,3.0,3.0,3.0,4.0,,3.0,4.0,5.0,4.0,,2.0,,3.0,5.0,,5.0,5.0,4.0,,5.0,1.0,2.0,4.0,4.0,4.0,,3.0,3.0,,,4.0,,,4.0,Male,18-29,"$150,000+",Some college or Associate degree,South Atlantic
3308749999.0,Intermediate,Not much���,,,3.0,,,,,,3.0,,,,2.0,1.0,1.0,,4.0,,,4.0,,4.0,4.0,,,3.0,,,4.0,,3.0,,5.0,3.0,4.0,,3.0,,,2.0,Male,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308749256.0,Intermediate,A lot,,,,,,,,,4.0,,,,2.0,5.0,3.0,,4.0,,,4.0,,4.0,3.0,,,,,,4.0,,3.0,,3.0,4.0,3.0,,4.0,3.0,3.0,1.0,Female,45-60,"$150,000+",Some college or Associate degree,Middle Atlantic
3308747452.0,Intermediate,Not much���,,,,,,3.0,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,3.0,,2.0,5.0,3.0,,,,,,Male,30-44,"$100,000 - $149,999",Graduate degree,Pacific
3308746473.0,Novice,Not at all���,,,,,,,,,,,,,3.0,,,,,,,3.0,,3.0,,,,,,,,,4.0,,3.0,,,,,,,,Male,> 60,"$0 - $24,999",Some college or Associate degree,Pacific
3308744587.0,Novice,Some,,,,,,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,4.0,,3.0,,,,,,,,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308742865.0,Advanced,A lot,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,5.0,,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,Male,> 60,"$150,000+",High school degree,South Atlantic
3308740007.0,Intermediate,Some,3.0,,4.0,4.0,,,,,,,,,4.0,4.0,4.0,,3.0,,,5.0,,4.0,4.0,4.0,2.0,,,1.0,4.0,4.0,3.0,,3.0,2.0,4.0,4.0,3.0,,1.0,3.0,Male,18-29,"$0 - $24,999",Bachelor degree,West South Central
3308739057.0,Novice,Some,,5.0,,,,2.0,,,,,,,1.0,3.0,1.0,,4.0,,,5.0,,4.0,5.0,,,,,,3.0,,3.0,,5.0,2.0,4.0,,,,4.0,4.0,Female,45-60,,Bachelor degree,West North Central
3308738718.0,Intermediate,A lot,,,3.0,4.0,1.0,3.0,,4.0,,5.0,,,3.0,5.0,3.0,,,4.0,,5.0,,4.0,4.0,4.0,,4.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,Female,45-60,,Bachelor degree,South Atlantic
3308733172.0,Intermediate,Not much���,,,,,,4.0,,,,,,,3.0,,3.0,,5.0,,,5.0,,,,,,,,,,,3.0,,,,,,,,,3.0,Female,45-60,,Some college or Associate degree,New England
3308724205.0,Novice,Some,,,,,,,,,,,,,,3.0,3.0,,3.0,,,3.0,,,,,,,,3.0,,,3.0,,,,,,,,,,Male,45-60,"$50,000 - $99,999",Graduate degree,New England
3308721608.0,Novice,A lot,,,,3.0,,,,,3.0,,,,3.0,3.0,1.0,,3.0,,,4.0,,3.0,3.0,,,,2.0,,4.0,,4.0,,3.0,3.0,2.0,,3.0,,2.0,,Female,45-60,,Graduate degree,South Atlantic
3308720038.0,Novice,Some,,,,,,,,,,,,,4.0,5.0,3.0,4.0,4.0,,,5.0,,2.0,5.0,5.0,,,,,5.0,,5.0,,4.0,,,,,,,,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308719922.0,Novice,Not at all���,,,,,,,,,,,,,1.0,3.0,3.0,,5.0,,,5.0,,,3.0,,,,,,,,5.0,,4.0,,3.0,3.0,,,3.0,,Male,45-60,"$50,000 - $99,999",High school degree,New England
3308719451.0,Advanced,A lot,,3.0,3.0,3.0,,4.0,,,3.0,,,,,3.0,2.0,,5.0,,,5.0,,5.0,5.0,,,4.0,3.0,4.0,5.0,3.0,3.0,,4.0,5.0,5.0,,4.0,5.0,4.0,3.0,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain
3308718419.0,Intermediate,Some,,,4.0,3.0,,,,,,,,,1.0,3.0,2.0,,4.0,,,5.0,,5.0,5.0,,,,,4.0,4.0,,3.0,,4.0,4.0,4.0,,,,4.0,2.0,Female,18-29,,Bachelor degree,South Atlantic
3308718351.0,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
3308717519.0,Novice,A lot,,,,3.0,,,,,,,,,3.0,4.0,2.0,,,,4.0,3.0,,3.0,5.0,,,,,,,,3.0,,3.0,4.0,3.0,,,4.0,,,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,East South Central
3308716587.0,Novice,Some,,,3.0,,,,,,,,,,3.0,2.0,,,3.0,,5.0,3.0,,,4.0,,,,,,,,4.0,,2.0,5.0,,,,,,,Female,18-29,,Some college or Associate degree,Pacific
3308716054.0,Novice,Not much���,,,,,,,,,,,,,3.0,4.0,3.0,,,3.0,,4.0,,4.0,2.0,4.0,,,,,3.0,,3.0,,4.0,1.0,2.0,,3.0,,,3.0,Female,18-29,"$150,000+",Bachelor degree,East North Central
3308715976.0,Intermediate,Some,,,3.0,,,,,4.0,,4.0,,4.0,3.0,3.0,3.0,3.0,4.0,3.0,,4.0,,3.0,4.0,,,,3.0,,4.0,,2.0,,3.0,5.0,5.0,3.0,3.0,3.0,,3.0,Female,18-29,"$25,000 - $49,999",Bachelor degree,New England
3308715946.0,Novice,Some,,,,,,4.0,,,,3.0,,,3.0,4.0,3.0,,3.0,,,4.0,,5.0,4.0,,,,,,4.0,,5.0,,4.0,3.0,3.0,,,,,3.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic
3308715331.0,Novice,A lot,,,,,,,,,,,,,4.0,4.0,,,,,,5.0,,3.0,5.0,,,,,,4.0,,4.0,,4.0,,,,,,,4.0,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
3308715206.0,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308712364.0,Novice,Some,,,,,,,,,,,,,4.0,5.0,3.0,,4.0,,,5.0,,5.0,4.0,,,,3.0,4.0,4.0,,4.0,,5.0,3.0,4.0,,4.0,,4.0,4.0,Male,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic
3308710220.0,Intermediate,Some,,,,4.0,,4.0,,3.0,,3.0,,3.0,3.0,4.0,4.0,,4.0,,,5.0,,4.0,3.0,,,,,,,4.0,4.0,,4.0,3.0,3.0,,,,,3.0,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,West North Central
3308708004.0,Novice,Some,,3.0,4.0,,,3.0,,3.0,3.0,3.0,4.0,,3.0,3.0,4.0,,4.0,,2.0,4.0,3.0,4.0,4.0,4.0,,3.0,3.0,3.0,3.0,,5.0,,3.0,4.0,3.0,3.0,3.0,,3.0,4.0,Male,45-60,,High school degree,Middle Atlantic
3308705135.0,Novice,Some,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,,4.0,,,3.0,,,3.0,,4.0,,4.0,1.0,1.0,,,,,3.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308702964.0,Novice,Not much���,,,,,,,,,,,,,,3.0,3.0,,,,,5.0,,3.0,4.0,,,,,,,,5.0,,4.0,1.0,,,,,,,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308702870.0,Intermediate,A lot,,2.0,,,,3.0,,3.0,,3.0,,,,3.0,3.0,,3.0,,,3.0,,4.0,5.0,,,,,,4.0,,3.0,3.0,5.0,4.0,5.0,3.0,,,3.0,,Male,18-29,"$25,000 - $49,999",High school degree,Pacific
3308702323.0,Intermediate,Some,,,,,,,,,,,,,3.0,,4.0,,,,,,,,4.0,5.0,,,,,4.0,,5.0,,,4.0,,,,,3.0,,Female,45-60,"$0 - $24,999",Some college or Associate degree,Mountain
3308702075.0,Intermediate,A lot,3.0,4.0,4.0,3.0,,4.0,,4.0,,5.0,,3.0,3.0,4.0,4.0,,5.0,3.0,3.0,5.0,,3.0,5.0,,,3.0,4.0,,3.0,3.0,3.0,,3.0,5.0,3.0,4.0,4.0,4.0,,3.0,Female,45-60,,Bachelor degree,East North Central
3308698389.0,Novice,Some,,,3.0,3.0,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,2.0,2.0,,,,,,,3.0,1.0,,3.0,1.0,3.0,,,,,4.0,Male,45-60,"$150,000+",Graduate degree,East North Central
3308697922.0,Advanced,A lot,,4.0,3.0,3.0,,4.0,,4.0,4.0,4.0,,4.0,2.0,3.0,3.0,,3.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,,3.0,3.0,4.0,4.0,3.0,4.0,,5.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Mountain
3308697837.0,Novice,Some,,,,,,,,,,,,,4.0,4.0,3.0,,4.0,,,4.0,,3.0,5.0,,,3.0,3.0,,3.0,,5.0,,5.0,2.0,2.0,,,,,4.0,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308697765.0,Advanced,Not much���,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308696221.0,Intermediate,Not much���,,,1.0,,3.0,,,,3.0,,,,3.0,,3.0,,,,,,,,3.0,,,,,,,,5.0,,,,,,3.0,,,,Female,18-29,,,South Atlantic
3308696186.0,Advanced,A lot,,,4.0,,,,,,,,,,2.0,5.0,,,4.0,,,5.0,,,4.0,,,,,,4.0,,4.0,,,,,5.0,,,,4.0,Female,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3308694655.0,Intermediate,A lot,,,3.0,2.0,2.0,,,2.0,3.0,,,,4.0,3.0,5.0,,4.0,4.0,4.0,4.0,,4.0,5.0,,,,4.0,,3.0,3.0,4.0,,4.0,5.0,5.0,,3.0,,,3.0,Male,18-29,"$0 - $24,999",High school degree,South Atlantic
3308693743.0,Intermediate,A lot,3.0,3.0,2.0,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,3.0,4.0,,4.0,5.0,,2.0,5.0,3.0,,3.0,3.0,,3.0,3.0,4.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic
3308693243.0,Novice,Not at all���,,,,,,,,,,,,,2.0,1.0,3.0,,,,,4.0,,3.0,1.0,,,,,,,,5.0,,3.0,2.0,,,3.0,,,,Male,45-60,,Bachelor degree,South Atlantic
3308691887.0,Intermediate,A lot,,,,,,,,,,,,,3.0,4.0,4.0,,4.0,,,5.0,,3.0,4.0,,,,,,4.0,,4.0,,4.0,4.0,,,,,,3.0,Male,30-44,"$100,000 - $149,999",Bachelor degree,East North Central
3308691132.0,Intermediate,A lot,3.0,3.0,3.0,2.0,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,5.0,,5.0,5.0,,3.0,3.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0,,2.0,3.0,Male,18-29,"$50,000 - $99,999",Bachelor degree,
3308690549.0,Novice,Not much���,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,3.0,3.0,5.0,3.0,,,3.0,,3.0,3.0,4.0,,3.0,3.0,3.0,,3.0,,,3.0,Female,45-60,,Some college or Associate degree,East North Central
3308690171.0,Intermediate,A lot,,5.0,3.0,,,5.0,,3.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,,4.0,,,5.0,,5.0,4.0,,,3.0,3.0,3.0,5.0,,5.0,,5.0,3.0,4.0,,5.0,,3.0,4.0,Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic
3308689431.0,Intermediate,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3308689374.0,Novice,Not much���,,,,,,,,,,,,,2.0,3.0,2.0,,2.0,,,5.0,,3.0,5.0,,,,,,4.0,,2.0,,3.0,,,,3.0,,,2.0,Male,30-44,"$50,000 - $99,999",Graduate degree,East North Central
3308689072.0,Intermediate,Some,,,3.0,,,,,,,,,,3.0,,,,3.0,,,3.0,,3.0,3.0,,,,,3.0,,,5.0,,3.0,3.0,3.0,,3.0,,,,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,South Atlantic
3308687767.0,Advanced,A lot,,,3.0,,,,,,,,,,2.0,4.0,3.0,,4.0,,3.0,5.0,,4.0,5.0,,,,3.0,4.0,4.0,,2.0,,4.0,5.0,5.0,,4.0,4.0,,3.0,Female,30-44,"$150,000+",Bachelor degree,South Atlantic
3308687706.0,Novice,A lot,,,,5.0,4.0,,,,,,4.0,,2.0,3.0,5.0,,4.0,,,5.0,,5.0,3.0,4.0,,,3.0,2.0,3.0,4.0,3.0,,5.0,5.0,4.0,3.0,,4.0,5.0,3.0,Male,> 60,"$100,000 - $149,999",Graduate degree,Pacific
3308686878.0,Novice,Not at all���,2.0,2.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0,2.0,3.0,Male,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic
3308684357.0,Intermediate,Some,,2.0,2.0,,,3.0,,,,,,,3.0,5.0,3.0,,4.0,,,4.0,,2.0,5.0,,,4.0,4.0,3.0,4.0,4.0,5.0,,4.0,1.0,3.0,,3.0,,,3.0,Male,> 60,"$150,000+",Graduate degree,West South Central
3308683714.0,Intermediate,Some,,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,4.0,,4.0,3.0,2.0,4.0,3.0,4.0,4.0,,,3.0,3.0,3.0,4.0,3.0,4.0,,4.0,3.0,3.0,3.0,3.0,,,3.0,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3308682260.0,Intermediate,Some,,,,,,,,,,,,,4.0,5.0,5.0,,3.0,,,4.0,,3.0,3.0,,,3.0,,,3.0,,4.0,,3.0,3.0,,,3.0,,,4.0,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,South Atlantic
3308681795.0,Intermediate,Some,,4.0,,3.0,,3.0,,3.0,3.0,3.0,,3.0,3.0,4.0,3.0,,4.0,3.0,,,,3.0,4.0,,,4.0,3.0,3.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,Female,30-44,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3308681074.0,Novice,Not much���,,,3.0,,,,,,,3.0,,,2.0,3.0,3.0,,,,,3.0,,3.0,4.0,3.0,,,,3.0,3.0,3.0,3.0,,4.0,1.0,3.0,,3.0,,3.0,4.0,Male,> 60,,Bachelor degree,West South Central
3308680553.0,Intermediate,Some,,,,,,,,,,,,,3.0,3.0,3.0,,3.0,,,4.0,,4.0,2.0,3.0,,,2.0,3.0,3.0,,3.0,,3.0,3.0,3.0,,,,2.0,,Male,18-29,"$50,000 - $99,999",Bachelor degree,Pacific
3308680252.0,Novice,Some,,,,,,,,,,,,,3.0,3.0,,,4.0,,,5.0,,4.0,3.0,,,,,3.0,3.0,,3.0,,4.0,3.0,4.0,,2.0,3.0,,,Male,> 60,"$0 - $24,999",Some college or Associate degree,South Atlantic
3308679861.0,Novice,Not much���,,,,3.0,,,,,3.0,,,,3.0,4.0,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,Male,30-44,,Graduate degree,South Atlantic
3308678746.0,Advanced,Some,,5.0,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,,5.0,2.0,,5.0,,4.0,3.0,4.0,,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,,4.0,3.0,Female,> 60,"$25,000 - $49,999",Graduate degree,East South Central
3308678417.0,Novice,Some,,3.0,3.0,,,3.0,,,3.0,3.0,,,3.0,3.0,3.0,,3.0,,,5.0,,3.0,3.0,,,3.0,,,3.0,2.0,5.0,,3.0,4.0,3.0,,3.0,,2.0,2.0,Male,45-60,"$150,000+",Bachelor degree,New England
3308677766.0,Novice,Some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
